date,description,amount
date,description,amount
2025-01-02,Amazon Purchase,1200
2025-01-03,Swiggy Order,450
2025-01-04,ATM Withdrawal,2000
2025-01-05,Salary Credit,60000
2025-01-07,Zomato Food,380
2025-01-08,Phone Recharge,249
2025-01-09,Petrol Pump,1500
2025-01-10,Electricity Bill,900
2025-01-12,Medical Store,650
2025-01-13,Uber Ride,210
2025-01-14,Credit Card Payment,5000
2025-01-16,Movie Tickets,550
2025-01-18,Grocery Shopping,1850
2025-01-20,Myntra Shopping,2200
2025-01-22,Interest Income,350
2025-01-24,Dominos Pizza,425
2025-01-26,Online Course,999
